Movie,Year,Rating
Bahubali: The Beginning,2015,8.1
Baahubali 2: The Conclusion,2017,8.2
1 - Nenokkadine,2014,8.1
Dhoom:3,2013,5.4
Ra.One,2011,4.6
Dhoom:2,2006,6.5
Eega,2012,7.7
Krrish 3,2013,5.2
Arjun Reddy,2017,8.1
Rangasthalam,2018,8.4
Magadheera,2009,7.6
War,2019,6.5
Bharat Ane Nenu,2018,7.7
Saaho,2019,5.2
Theri,2016,7.1
Dookudu,2011,7.4
Pokiri,2006,7.9
Sarkar,2018,6.8
Athadu,2005,8.2
The Ghazi Attack,2017,7.6
Kabali,2016,6.2
MSG: The Messenger of God,2015,5.9
Nanban,2012,7.4
Srimanthudu,2015,7.5
Veer - Vivegam,2017,5.6
Billa 2,2012,6.2
Manam,2014,8
7 Aum Arivu,2011,6.2
Bigil,2019,6.8
Business Man,2012,7.1
Geetha Govindam,2018,7.7
Mahanati,2018,8.5
Spyder,2017,6.6
Nannaku Prematho,2016,7.6
Dabangg 3,2019,3.3
MSG 2 the Messenger,2015,6.7
Manikarnika: The Queen of Jhansi,2019,6.4
Race Gurram,2014,7.2
Okkadu,2003,8
Bommarillu,2006,8.2
Atharintiki Daaredi,2013,7.2
Khaleja,2010,7.5
Yennai Arindhaal,2015,7.3
Thalaivaa,2013,6.1
Kaala,2018,6.7
Bairavaa,2017,5.9
Goodachari,2018,7.8
Puli,2015,4.4
Pulimurugan,2016,6.8
Veeram,2014,6.5
Vedam,2010,8.1
Yevadu,2014,5.6
Aravindha Sametha Veera Raghava,2018,7.7
Billa,2007,7.2
Jersey,2019,8.6
Sye Raa Narasimha Reddy,2019,7.5
Ala Vaikunthapurramuloo,2020,7.2
Janatha Garage,2016,7.3
Gabbar Singh,2012,7.1
Temper,2015,7.4
Game Over,2019,7.1
Singam 2,2013,6.3
Dhruva,2016,7.9
Jalsa,2008,7.3
Maharshi,2019,7.3
Pelli Choopulu,2016,8.2
Arya 2,2009,7.4
Chekka Chivantha Vaanam,2018,7.3
Naa Peru Surya Na Illu India,2018,6.8
Ki & Ka,2016,5.8
Seethamma Vakitlo Sirimalle Chettu,2013,7.5
Singam 3,2017,6.3
Agent Sai Srinivasa Athreya,2019,8.5
Jai Lava Kusa,2017,7
Arya,2004,7.8
Maattrraan,2012,5.9
Kochadaiiyaan,2014,6.3
Thaanaa Serndha Koottam,2018,6.8
OK Kanmani,2015,7.4
Dear Comrade,2019,7.3
Happy Days,2007,7.9
Sarileru Neekevvaru,2020,6.1
Julayi,2012,7.2
Kshanam,2016,8.3
Oopiri,2016,8
Baadshah,2013,6.4
Sarrainodu,2016,6.4
Kick,2009,7.8
Leader,2010,8
Anjaan,2014,5
Khushi,2001,7.9
Maya Bazaar,1957,9.2
Rakhta Charitra,2010,7.6
Mirchi,2013,7.2
Chatrapathi,2005,7.6
C/o Kancharapalem,2018,9
Sachein,2005,6.9
Murari,2001,7.8
Vikramarkudu,2006,7.7
Kuruthipunal,1995,8.5
Brindaavanam,2010,7.1
Panjaa,2011,6.5
Nuvvu Naaku Nachchav,2001,8.7
Gopala Gopala,2015,7.3
Kaappaan,2019,6.4
Aagadu,2014,5.4
Masss,2015,6
Maanagaram,2017,8.1
Drushyam,2014,8.3
Yamadonga,2007,7.3
S/O Satyamurthy,2015,6.9
Tholi Prema,1998,8.2
Awe!,2018,7.8
Yatra,2018,8.2
Fidaa,2017,7.5
Oosaravelli,2011,6.6
Evaru,2019,8.2
Odiyan,2018,5.5
Khaidi No 150,2017,6
NGK,2019,6
Duvvada Jagannadham,2017,5.6
Bale Bale Magadivoy,2015,7.8
Shiva,1989,8.1
Manmadhudu,2002,8.3
Mr Perfect,2011,7.1
Orange,2010,6.6
Anirudh,2016,4.3
Gamyam,2008,8.3
Kanche,2015,7.9
Naayak,2013,5.5
Malliswari,2004,7.8
Nuvvostanante Nenoddantana,2005,7.7
Ye Maaya Chesave,2010,7.7
Sagara Sangamam,1983,8.8
Rudhramadevi,2015,5.8
Cameraman Gangatho Rambabu,2012,5.7
Majili,2019,7.2
Uttama Villain,2015,7.2
Arundhati,2009,7.3
Agnyaathavaasi,2018,4.5
Pilla Zamindar,2011,7.7
100% Love,2011,7
Aa Naluguru,2004,8.5
Darling,2010,7.3
Aha Naa Pellanta,1987,8.9
Vinaya Vidheya Rama,2019,3.3
Happy,2006,7
Ala Modalaindi,2011,7.7
Prasthanam,2010,8.3
Dhee,2007,7.4
Iddarammayilatho,2013,5.7
Simhadri,2003,7.4
Taxiwaala,2018,7
Parugu,2008,7
Rakhta Charitra 2,2010,6.4
Maryada Ramanna,2010,7.4
Rachcha,2012,4.3
HIT,2020,7.8
Nota,2018,6.4
U Turn,2018,7
Thammudu,1999,7.8
Zanjeer,2013,3.2
Ezra,2017,6.7
Bhaagamathie,2018,7
Adhurs,2010,6.7
Aditya 369,1991,8.4
Sardaar Gabbar Singh,2016,4.8
Gitanjali,1989,8.2
Ninnu Kori,2017,7.6
Indra,2002,7.4
Vishwaroopam 2,2018,5.9
Oru Adaar Love,2019,5.5
Tholi Prema,2018,7.3
Brochevarevarura,2019,8
7/G Rainbow Colony,2004,7.8
Tagore,2003,7.8
Gang Leader,2019,7.6
Bujjigaadu: Made in Chennai,2008,6.4
Sye,2004,7.4
Yevade Subramanyam,2015,7.6
Mathu Vadalara,2019,8.3
Katamarayudu,2017,5.7
Maari 2,2018,5.6
Gautamiputra Satakarni,2017,6.5
Rx 100,2018,6.9
A... Aa,2016,6.8
Aalavandhan,2001,7.1
F2: Fun and Frustration,2019,6.2
The House Next Door,2017,6.8
Krishna Gaadi Veera Prema Gaadha,2016,7.5
Prince,2010,4.2
Sankarabharanam,1980,8.7
Thoongaavanam,2015,7
Govindudu Andari Vaadele,2014,5.6
Anand,2004,7.8
Raja Kumarudu,1999,6.7
Baba,2002,5.1
Dhammu,2012,5.2
Ramayya Vastavayya,2013,5.1
NTR: Kathanayakudu,2019,5.7
Chirutha,2007,5.3
Thaandavam,2012,6.1
Athidhi,2007,5.5
